STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,GEOGRAPH,TRACT,POVERTY200,TRACTCE,PERCENT_CA,PERCENT_TR,PERCENT_WA,TOTAL_POP,UNEMPLOYME,POVERTY_RA,MEDIAN_INC,PERCENT_BL,PERCENT_HI,HOME_OWN,F15_FI_RATE,F15_FI_POP,F15_LB_NEED,F15_LB_UNME,F15_DISTRIB,F15_PPIN,FY_FI_RATE,FY_FI_POP,FY_LB_UNME,FY_DISTRIB,FY_PPIN,F14_FI_RATE,F14_LB_UNME,F14_DISTRIB,F14_PPIN,GIS_ID,GLOBALID,CREATED,EDITED,SHAPEAREA,SHAPELEN,OBJECTID
24,031,701316,24031701316,7013.16,Census Tract 7013.16,G5020,S,25024496,119275,24031701316,701316,0,701316,92.5,6,1.6,6033,0.091,0.064,118158,0.183,0.06,0.814,0.094,567.669102,119210.51142,117153.665788,2056.845632,3.623318,9.4,567.669102,117558.578255,1651.933165,2.910028,7.4,87068.47836,4182.4,9.62516,CAFB_Hunger_Heat_Map_68,{0FEE9672-8A64-44D6-96C1-32C954840BE1},,,0,0,34
24,031,700819,24031700819,7008.19,Census Tract 7008.19,G5020,S,2247200,33501,24031700819,700819,0,700819,87.4,12.2,0.4,6966,0.049,0.038,75343,0.229,0.238,0.689,0.072,501.552,105325.92,65402.517304,39923.402696,79.599728,7.2,501.552,79621.716837,25704.203163,51.249328,10,137993.389268,11925.61,16.704876,CAFB_Hunger_Heat_Map_69,{3543CA0E-CC90-4AEE-B43B-B736714ACD69},,,0,0,35
24,031,700815,24031700815,7008.15,Census Tract 7008.15,G5020,S,2736884,752,24031700815,700815,0,700815,87.2,12.3,0.4,8122,0.058,0.09,90962,0.245,0.326,0.797,0.059,478.718802,100530.94842,92077.212114,8453.736306,17.659086,5.9,479.198,93315.385652,7316.194348,15.267581,8.6,129820.391812,23617.37,32.323511,CAFB_Hunger_Heat_Map_1,{F2736CF3-5B93-478E-BB6C-A5E4B53F7CA9},,,0,0,36
24,031,700716,24031700716,7007.16,Census Tract 7007.16,G5020,S,2903904,8661,24031700716,700716,0,700716,87.2,11.2,1.6,7653,0.078,0.042,83726,0.149,0.206,0.853,0.066,505.098,106070.58,63298.85444,42771.72556,84.680053,6.6,505.098,76505.536135,29565.043865,58.533282,9.4,117276.203597,30517.18,43.361936,CAFB_Hunger_Heat_Map_2,{1054383E-6D36-4759-AB09-18B00778DFB1},,,0,0,37
24,031,700722,24031700722,7007.22,Census Tract 7007.22,G5020,S,2658520,13616,24031700722,700722,0,700722,88.2,10.8,1,4075,0.03,0.071,77614,0.255,0.195,0.498,0.095,387.125,81296.25,49678.394027,31617.855973,81.673506,9.5,386.737875,60865.269152,20349.684598,52.618804,10,76137.297089,13070.7,30.769075,CAFB_Hunger_Heat_Map_3,{CA62B61E-AC46-4ED4-B388-E512A8CF4AF6},,,0,0,38
24,031,700713,24031700713,7007.13,Census Tract 7007.13,G5020,S,1372979,89855,24031700713,700713,0,700713,69.3,23.4,7.3,5595,0.057,0.097,48485,0.246,0.398,0.351,0.108,604.26,126894.6,76535.564523,50359.035477,83.340012,10.8,603.65574,93225.348193,33542.357207,55.565374,13.3,116137.582157,39655.96,53.453764,CAFB_Hunger_Heat_Map_4,{2EC90AD2-8337-480F-9A51-614EF48902CD},,,0,0,39
24,031,700721,24031700721,7007.21,Census Tract 7007.21,G5020,S,431407,7882,24031700721,700721,0,700721,75.4,24.6,0,2528,0.061,0.051,60648,0.299,0.227,0.585,0.103,260.384,54680.64,35788.797088,18891.842912,72.553778,10.3,260.384,41454.725213,13225.914787,50.793884,11.4,48637.434516,10207.09,36.426297,CAFB_Hunger_Heat_Map_5,{C489453F-8F6E-4D1A-9B20-A0955A72F533},,,0,0,40
24,031,701312,24031701312,7013.12,Census Tract 7013.12,G5020,S,4052233,0,24031701312,701312,0,701312,88.6,11.4,0,6220,0.045,0.044,135725,0.097,0.045,0.864,0.051,317.22,66616.2,63547.246994,3068.953006,9.674526,5.1,317.22,62775.794275,3840.405725,12.106443,4.7,42684.782373,17532.09,61.141311,CAFB_Hunger_Heat_Map_6,{AE8A7F96-A14A-460D-8C5C-E856040882F6},,,0,0,41
24,031,701315,24031701315,7013.15,Census Tract 7013.15,G5020,S,2622072,13900,24031701315,701315,0,701315,91.9,6.2,1.9,4738,0.048,0.014,114417,0.166,0.121,0.756,0.06,284.28,59698.8,58149.96299,1548.83701,5.44828,6,284.56428,57478.840263,2279.658537,8.01105,6.2,59526.379152,2071.24,7.061321,CAFB_Hunger_Heat_Map_7,{6FDDC446-62B9-4A7E-A38C-38A87DD7BD24},,,0,0,42
24,031,700613,24031700613,7006.13,Census Tract 7006.13,G5020,S,12659410,86183,24031700613,700613,0,700613,93.9,5.5,0.7,6194,0.066,0.06,129500,0.132,0.071,0.778,0.075,465.01455,97653.0555,94360.521477,3292.534023,7.080497,7.5,465.01455,95295.687319,2357.368181,5.06945,5.5,60195.873439,10721.13,31.747488,CAFB_Hunger_Heat_Map_8,{68C58BC9-B930-4A30-827D-D094B515E0D8},,,0,0,43
